policy,program_id,class,call_index,submit_ns,first_token_ns,finish_ns,queue_wait_ns,decode_ns,call_ns,prompt_tokens,output_tokens
agentix_core,p00000,lats,0,42379927802856,42380007461537,42380374139847,79658681,366678310,446336991,356,37
agentix_core,p00000,lats,4,42379928779047,42380016125583,42380408274054,87346536,392148471,479495007,512,40
agentix_core,p00000,lats,3,42379928645998,42380016115376,42380477320318,87469378,461204942,548674320,508,48
agentix_core,p00000,lats,2,42379928485685,42380016104091,42380528609572,87618406,512505481,600123887,265,54
agentix_core,p00000,lats,1,42379928227565,42380016091286,42380787555587,87863721,771464301,859328022,258,88
agentix_core,p00000,lats,5,42380878453239,42380925884302,42381398127153,47431063,472242851,519673914,337,28
agentix_core,p00000,lats,8,42380995262396,42381251105459,42381554234054,255843063,303128595,558971658,516,36
agentix_core,p00000,lats,7,42380972018749,42381258989730,42381623227330,286970981,364237600,651208581,480,43
agentix_core,p00000,lats,9,42380899275168,42380930544029,42382241222054,31268861,1310678025,1341946886,551,121
agentix_core,p00000,lats,6,42380870278996,42380906728038,42382248431563,36449042,1341703525,1378152567,643,124
agentix_core,p00000,lats,14,42382268040846,42382322675127,42382605560598,54634281,282885471,337519752,475,32
agentix_core,p00000,lats,11,42382274014693,42382325979422,42382805400536,51964729,479421114,531385843,253,54
agentix_core,p00000,lats,10,42382387922696,42382419445177,42382874679451,31522481,455234274,486756755,719,53
agentix_core,p00000,lats,12,42382356352867,42382395806438,42383090948318,39453571,695141880,734595451,227,77
agentix_core,p00000,lats,13,42382530775793,42382563414933,42383153500881,32639140,590085948,622725088,436,66
agentix_core,p00000,lats,16,42383520911343,42383555281544,42383929583917,34370201,374302373,408672574,381,44
agentix_core,p00000,lats,18,42383567218142,42383595111404,42383938191491,27893262,343080087,370973349,571,41
agentix_core,p00000,lats,15,42383227461140,42383261152828,42384276325244,33691688,1015172416,1048864104,418,116
agentix_core,p00000,lats,19,42383342298898,42383372636741,42384474389957,30337843,1101753216,1132091059,279,126
agentix_core,p00000,lats,17,42383155768636,42383184634744,42384657020469,28866108,1472385725,1501251833,460,169
agentix_core,p00000,lats,23,42384660539043,42384694119833,42385251479445,33580790,557359612,590940402,669,64
agentix_core,p00000,lats,22,42384940449404,42384968164695,42385537877532,27715291,569712837,597428128,529,67
agentix_core,p00000,lats,21,42384813209618,42384837446646,42385615540514,24237028,778093868,802330896,132,91
agentix_core,p00000,lats,24,42384744633542,42384795896847,42385875062809,51263305,1079165962,1130429267,341,126
agentix_core,p00000,lats,20,42384760319468,42384800866198,42385948529757,40546730,1147663559,1188210289,344,131
agentix_core,p00000,lats,26,42385986266335,42386055303441,42386384308538,69037106,329005097,398042203,305,39
agentix_core,p00000,lats,25,42385991063190,42386055316004,42386384422086,64252814,329106082,393358896,275,39
agentix_core,p00000,lats,28,42386119405330,42386152922494,42386566023727,33517164,413101233,446618397,418,49
agentix_core,p00000,lats,27,42385976173824,42386037885512,42386583352815,61711688,545467303,607178991,837,63
agentix_core,p00000,lats,29,42386011845970,42386058992105,42386941132781,47146135,882140676,929286811,457,108
agentix_core,p00000,lats,30,42386955936494,42387012523149,42387393161167,56586655,380638018,437224673,307,45
agentix_core,p00000,lats,33,42386968820562,42387016687205,42387549501933,47866643,532814728,580681371,245,62
agentix_core,p00000,lats,34,42386964110171,42387016675801,42387592742476,52565630,576066675,628632305,436,67
agentix_core,p00000,lats,31,42386956306040,42387012543783,42387695093710,56237743,682549927,738787670,420,80
agentix_core,p00000,lats,32,42387080619834,42387119147481,42387969113670,38527647,849966189,888493836,453,104
agentix_core,p00000,lats,36,42388015141506,42388055359483,42388408584807,40217977,353225324,393443301,415,40
agentix_core,p00000,lats,38,42388146661901,42388208228603,42388607178815,61566702,398950212,460516914,226,46
agentix_core,p00001,lats,3,42388158061756,42388217875652,42388744433239,59813896,526557587,586371483,381,59
agentix_core,p00001,lats,1,42388157254489,42388217855646,42388787255679,60601157,569400033,630001190,227,64
agentix_core,p00001,lats,0,42388157082754,42388217844341,42388881635004,60761587,663790663,724552250,456,75
agentix_core,p00000,lats,39,42388156776860,42388217895382,42388924252874,61118522,706357492,767476014,337,82
agentix_core,p00001,lats,4,42388158216022,42388217885462,42389126311776,59669440,908426314,968095754,579,100
agentix_core,p00000,lats,37,42388090206952,42388115215959,42389143682482,25009007,1028466523,1053475530,385,114
agentix_core,p00000,lats,35,42388419763830,42388453695858,42389203819986,33932028,750124128,784056156,476,86
agentix_core,p00001,lats,2,42388157392090,42388217865617,42389473101167,60473527,1255235550,1315709077,278,134
agentix_core,p00002,bfcl,0,42389348561537,42389396984734,42389623039292,48423197,226054558,274477755,1423,26
agentix_core,p00000,lats,41,42389310748282,42389340789911,42389787553093,30041629,446763182,476804811,114,47
agentix_core,p00000,lats,43,42389208411421,42389257954966,42389880927415,49543545,622972449,672515994,717,67
agentix_core,p00000,lats,40,42389237250701,42389278560656,42389881056584,41309955,602495928,643805883,441,65
agentix_core,p00000,lats,44,42389219817327,42389274512048,42390010594282,54694721,736082234,790776955,476,81
agentix_core,p00002,bfcl,1,42389759369509,42389792379874,42390010745799,33010365,218365925,251376290,776,26
agentix_core,p00000,lats,42,42389248815347,42389278571955,42390185377510,29756608,906805555,936562163,631,99
agentix_core,p00001,lats,9,42389656578071,42389689137411,42390275870019,32559340,586732608,619291948,261,64
agentix_core,p00002,bfcl,2,42390318245764,42390343603037,42390468595564,25357273,124992527,150349800,291,15
agentix_core,p00000,lats,48,42390199631895,42390244241475,42390614792471,44609580,370550996,415160576,535,43
agentix_core,p00001,lats,5,42389805251015,42389839280893,42390614928680,34029878,775647787,809677665,530,84
agentix_core,p00000,lats,46,42390370393127,42390398706230,42390674691608,28313103,275985378,304298481,532,33
agentix_core,p00002,bfcl,3,42390609624087,42390632451500,42390769504861,22827413,137053361,159880774,609,17
agentix_core,p00001,lats,6,42389585180636,42389615293133,42390942101415,30112497,1326808282,1356920779,199,146
agentix_core,p00000,lats,47,42390227952735,42390250773158,42390942219338,22820423,691446180,714266603,497,80
agentix_core,p00000,lats,45,42390234403002,42390285446015,42390950297811,51043013,664851796,715894809,512,77
agentix_core,p00001,lats,8,42390401849923,42390425649067,42391020525070,23799144,594876003,618675147,244,67
agentix_core,p00000,lats,49,42390294261069,42390325669448,42391089391606,31408379,763722158,795130537,519,88
agentix_core,p00001,lats,7,42389481261155,42389514320333,42391111924757,33059178,1597604424,1630663602,398,176
agentix_core,p00000,lats,51,42391181056618,42391202955017,42391458958054,21898399,256003037,277901436,241,27
agentix_core,p00001,lats,14,42391200656929,42391249817139,42391590182078,49160210,340364939,389525149,742,39
agentix_core,p00001,lats,10,42391128122059,42391167384613,42391598837260,39262554,431452647,470715201,174,47
agentix_core,p00003,bfcl,0,42391385701960,42391416729106,42391722344791,31027146,305615685,336642831,573,33
agentix_core,p00000,lats,54,42391226663587,42391252916654,42391806918494,26253067,554001840,580254907,1192,62
agentix_core,p00000,lats,52,42391273700852,42391323749193,42391860019197,50048341,536270004,586318345,432,60
agentix_core,p00000,lats,50,42391258077768,42391304124529,42391883859083,46046761,579734554,625781315,537,66
agentix_core,p00001,lats,13,42391260567279,42391304135794,42391961957266,43568515,657821472,701389987,273,75
agentix_core,p00000,lats,53,42391278271297,42391307295672,42391962053910,29024375,654758238,683782613,459,74
agentix_core,p00002,bfcl,4,42391827921454,42391860117314,42392211615080,32195860,351497766,383693626,601,37
agentix_core,p00001,lats,11,42392004686296,42392043871582,42392407438030,39185286,363566448,402751734,534,40
agentix_core,p00001,lats,12,42391115398899,42391164270158,42392442067600,48871259,1277797442,1326668701,906,136
agentix_core,p00000,lats,57,42392018044033,42392084472081,42392730394201,66428048,645922120,712350168,656,67
agentix_core,p00000,lats,59,42391999189148,42392043882186,42392798939608,44693038,755057422,799750460,502,80
agentix_core,p00000,lats,56,42392267436766,42392298302683,42392850691299,30865917,552388616,583254533,570,58
